Time, AverageSpeed,AverageRPMs,SpeedDataPoints,RPMsDataPoints
11/13/2020 20:45,0.0,614.9086021505376
11/13/2020 20:46,3.7780364674310083,856.5290581162325
11/13/2020 20:47,18.854337620889876,1371.8487584650113
11/13/2020 20:48,18.530645467091965,1475.693661971831
11/13/2020 20:49,30.32535093095541,1478.222816399287
11/13/2020 20:50,43.610359746865925,1691.1522123893806
11/13/2020 20:51,14.948382843823893,1102.4493554327807
11/13/2020 20:52,0.8640943142050429,685.2795138888889
11/13/2020 20:53,0.5011401225064805,672.4349315068494
11/13/2020 20:54,0.2583816237081171,647.6531986531986
11/13/2020 20:57,0.0,673.0885860306644,587,587
11/13/2020 20:58,0.0,708.7674858223062,529,529
11/13/2020 20:59,0.0,699.2919463087248,596,596
11/13/2020 21:00,1.1254427206339472,736.6972789115646,588,588
11/13/2020 21:01,2.9551992634202744,909.2440677966101,590,590
11/13/2020 21:02,25.899394090237404,1503.0775862068965,580,580
11/13/2020 21:03,30.705548020612536,1637.2,570,570
11/13/2020 21:04,21.36944306682429,1200.7013651877132,586,586
11/13/2020 21:05,11.488486455454462,1066.1431005110733,587,587
11/13/2020 21:06,20.851783277964415,1328.659090909091,572,572
11/13/2020 21:07,48.160998651126384,1862.746192893401,591,591
11/13/2020 21:08,68.16926896470919,2039.9528130671506,551,551
11/13/2020 21:09,65.03998969251955,2000.3670033670035,594,594
11/13/2020 21:10,70.10880669164112,2082.268656716418,603,603
11/13/2020 21:11,69.05025888480723,2049.6115702479337,605,605
11/13/2020 21:12,35.5165417296321,1664.1616666666666,600,600
11/13/2020 21:13,16.17780514933711,902.490662139219,589,589
11/13/2020 21:14,31.125143160569355,1465.3389544688027,593,593
11/13/2020 21:15,25.583017055396695,1516.3541666666667,576,576
11/13/2020 21:16,4.495939972244346,793.041121495327,535,535
